Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
convect,False,0,000000,,,True,1,010000,Cm,,0.032,0.574,0.296,0.508,0.398,0.24,0.032093,0.835079,0,0.574424,0.651832,0,0.295672,0.554974,0,0.508097,0.667539,0,0.398341,0.670157,0,0.239989,0.759162,0,0,0,0,0,0,0
convene,True,1,000010,Sn,,True,1,000010,Sn,,0.236,0.201,0.027,0.173,0.957,0.491,0.235514,0.835079,0,0.201373,0.651832,0,0.026794,0.554974,0,0.172865,0.667539,0,0.956765,0.670157,1,0.490565,0.759162,0,0,0,0,0,1,0
converge,True,1,000100,An,,True,2,000101,Ev,An,0.521,0.29,0.027,0.708,0.325,0.759,0.521057,0.835079,0,0.289673,0.651832,0,0.027109,0.554974,0,0.708029,0.667539,1,0.325157,0.670157,0,0.7588,0.759162,0,0,0,0,1,0,0
convolve,False,0,000000,,,True,2,010010,Cm,Sn,0.119,0.633,0.436,0.114,0.595,0.15,0.118918,0.835079,0,0.632835,0.651832,0,0.435582,0.554974,0,0.114009,0.667539,0,0.594832,0.670157,0,0.149894,0.759162,0,0,0,0,0,0,0
cook,True,1,001000,Ap,,True,4,001111,Ap,"An, Sn, Ev",0.298,0.162,0.926,0.863,0.729,0.718,0.297851,0.835079,0,0.162138,0.651832,0,0.926337,0.554974,1,0.86254,0.667539,1,0.728822,0.670157,1,0.717527,0.759162,0,0,0,1,0,0,0
cooperate,True,1,000010,Sn,,True,2,001010,Sn,Ap,0.105,0.354,0.554,0.151,0.92,0.048,0.105337,0.835079,0,0.353888,0.651832,0,0.553618,0.554974,0,0.1507,0.667539,0,0.919548,0.670157,1,0.047929,0.759162,0,0,0,0,0,1,0
corner,True,1,010000,Cm,,True,1,010000,Cm,,0.554,0.816,0.041,0.523,0.245,0.29,0.554237,0.835079,0,0.815927,0.651832,1,0.040715,0.554974,0,0.523174,0.667539,0,0.244699,0.670157,0,0.289825,0.759162,0,0,1,0,0,0,0
correct,False,0,000000,,,False,0,000000,,,0.635,0.427,0.41,0.119,0.041,0.082,0.634689,0.835079,0,0.426505,0.651832,0,0.409761,0.554974,0,0.118588,0.667539,0,0.041232,0.670157,0,0.081609,0.759162,0,0,0,0,0,0,0
corrode,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.234,0.337,0.563,0.511,0.058,0.859,0.234047,0.835079,0,0.33653,0.651832,0,0.562564,0.554974,1,0.511087,0.667539,0,0.0585,0.670157,0,0.858722,0.759162,1,0,0,0,0,0,1
counteract,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.163,0.125,0.631,0.038,0.52,0.82,0.162829,0.835079,0,0.124795,0.651832,0,0.631098,0.554974,1,0.038117,0.667539,0,0.520131,0.670157,0,0.819796,0.759162,1,0,0,0,0,0,1
