Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
affirm,True,1,000001,Ev,,True,1,000001,Ev,,0.336,0.256,0.343,0.054,0.468,0.745,0.335715,0.840314,0,0.256347,0.717277,0,0.342946,0.591623,0,0.053629,0.657068,0,0.468019,0.643979,0,0.744546,0.743455,1,0,0,0,0,0,1
affix,True,1,001000,Ap,,True,1,001000,Ap,,0.432,0.545,0.662,0.061,0.146,0.287,0.432181,0.840314,0,0.545425,0.717277,0,0.661561,0.591623,1,0.061041,0.657068,0,0.146311,0.643979,0,0.286812,0.743455,0,0,0,1,0,0,0
afford,True,1,001000,Ap,,True,2,101000,Kn,Ap,0.764,0.492,0.749,0.269,0.284,0.495,0.763871,0.840314,0,0.492412,0.717277,0,0.749407,0.591623,1,0.26924,0.657068,0,0.284488,0.643979,0,0.495364,0.743455,0,0,0,1,0,0,0
aggravate,True,1,001000,Ap,,True,3,001110,Ap,"An, Sn",0.446,0.401,0.936,0.647,0.692,0.316,0.445681,0.840314,0,0.400896,0.717277,0,0.935614,0.591623,1,0.646693,0.657068,0,0.692294,0.643979,1,0.316122,0.743455,0,0,0,1,0,0,0
aggregate,True,1,000100,An,,True,3,100110,An,"Kn, Sn",0.848,0.533,0.072,0.913,0.629,0.29,0.847816,0.840314,1,0.533207,0.717277,0,0.071762,0.591623,0,0.913159,0.657068,1,0.628569,0.643979,0,0.290431,0.743455,0,0,0,0,1,0,0
agitate,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.641,0.116,0.675,0.213,0.626,0.165,0.640694,0.840314,0,0.115957,0.717277,0,0.67486,0.591623,1,0.213455,0.657068,0,0.626146,0.643979,0,0.165253,0.743455,0,0,0,1,0,0,0
agonize,True,3,101100,An,"Kn, Ap",True,3,101100,An,"Kn, Ap",0.889,0.106,0.642,0.91,0.072,0.491,0.888601,0.840314,1,0.106253,0.717277,0,0.642204,0.591623,1,0.909528,0.657068,1,0.071568,0.643979,0,0.49145,0.743455,0,1,0,1,1,0,0
agree,True,1,000001,Ev,,True,1,000001,Ev,,0.443,0.066,0.003,0.204,0.163,0.884,0.443327,0.840314,0,0.065663,0.717277,0,0.002618,0.591623,0,0.204173,0.657068,0,0.163408,0.643979,0,0.883636,0.743455,1,0,0,0,0,0,1
aim,True,1,100000,Kn,,True,2,100010,Kn,Sn,0.889,0.312,0.193,0.072,0.734,0.335,0.889121,0.840314,1,0.312119,0.717277,0,0.193423,0.591623,0,0.07157,0.657068,0,0.734361,0.643979,1,0.335487,0.743455,0,1,0,0,0,0,0
align,True,1,000001,Ev,,True,1,000001,Ev,,0.617,0.555,0.377,0.487,0.5,0.763,0.617473,0.840314,0,0.555011,0.717277,0,0.377375,0.591623,0,0.487255,0.657068,0,0.499904,0.643979,0,0.763282,0.743455,1,0,0,0,0,0,1
alleviate,True,1,000100,An,,True,2,001100,An,Ap,0.229,0.067,0.63,0.798,0.506,0.433,0.229231,0.840314,0,0.067426,0.717277,0,0.630253,0.591623,1,0.797585,0.657068,1,0.506003,0.643979,0,0.432894,0.743455,0,0,0,0,1,0,0
allot,True,1,001000,Ap,,True,1,001000,Ap,,0.551,0.547,0.897,0.162,0.128,0.108,0.551115,0.840314,0,0.547014,0.717277,0,0.897227,0.591623,1,0.16241,0.657068,0,0.128456,0.643979,0,0.10823,0.743455,0,0,0,1,0,0,0
allude,True,1,001000,Ap,,True,1,001000,Ap,,0.528,0.496,0.791,0.062,0.242,0.128,0.527522,0.840314,0,0.495581,0.717277,0,0.791427,0.591623,1,0.062253,0.657068,0,0.242188,0.643979,0,0.128373,0.743455,0,0,0,1,0,0,0
alter,True,3,001110,Ap,"An, Sn",True,3,001110,Ap,"An, Sn",0.068,0.384,0.903,0.888,0.785,0.186,0.067855,0.840314,0,0.383974,0.717277,0,0.903301,0.591623,1,0.888326,0.657068,1,0.784717,0.643979,1,0.185644,0.743455,0,0,0,1,1,1,0
alternate,True,1,000100,An,,True,2,001100,An,Ap,0.197,0.355,0.546,0.761,0.466,0.206,0.196986,0.840314,0,0.355132,0.717277,0,0.546492,0.591623,0,0.761295,0.657068,1,0.466339,0.643979,0,0.205748,0.743455,0,0,0,0,1,0,0
ameliorate,False,0,000000,,,True,1,001000,Ap,,0.128,0.054,0.542,0.165,0.423,0.217,0.128392,0.840314,0,0.053669,0.717277,0,0.541647,0.591623,0,0.164639,0.657068,0,0.422967,0.643979,0,0.216991,0.743455,0,0,0,0,0,0,0
amortize,True,1,001000,Ap,,True,1,001000,Ap,,0.489,0.271,0.596,0.146,0.486,0.272,0.489307,0.840314,0,0.271119,0.717277,0,0.595874,0.591623,1,0.146083,0.657068,0,0.486019,0.643979,0,0.271663,0.743455,0,0,0,1,0,0,0
amplify,False,0,000000,,,True,1,010000,Cm,,0.065,0.63,0.482,0.07,0.532,0.034,0.065221,0.840314,0,0.629949,0.717277,0,0.482402,0.591623,0,0.069875,0.657068,0,0.531537,0.643979,0,0.033971,0.743455,0,0,0,0,0,0,0
analogize,True,1,010000,Cm,,True,4,111100,Cm,"Kn, Ap, An",0.725,0.975,0.796,0.87,0.505,0.31,0.7252,0.840314,0,0.97478,0.717277,1,0.795527,0.591623,1,0.870152,0.657068,1,0.505236,0.643979,0,0.310452,0.743455,0,0,1,0,0,0,0
anneal,True,1,010000,Cm,,True,2,011000,Cm,Ap,0.626,0.808,0.639,0.046,0.08,0.211,0.626279,0.840314,0,0.808244,0.717277,1,0.639238,0.591623,1,0.045696,0.657068,0,0.079962,0.643979,0,0.211256,0.743455,0,0,1,0,0,0,0
annihilate,True,1,001000,Ap,,True,1,001000,Ap,,0.289,0.329,0.904,0.23,0.262,0.53,0.289339,0.840314,0,0.328537,0.717277,0,0.904289,0.591623,1,0.229811,0.657068,0,0.262148,0.643979,0,0.530124,0.743455,0,0,0,1,0,0,0
annotate,True,1,100000,Kn,,True,3,111000,Kn,"Cm, Ap",0.889,0.745,0.8,0.016,0.52,0.185,0.888905,0.840314,1,0.744634,0.717277,1,0.799899,0.591623,1,0.01553,0.657068,0,0.520394,0.643979,0,0.184893,0.743455,0,1,0,0,0,0,0
announce,True,1,010000,Cm,,True,5,111110,Cm,"Kn, Ap, An, Sn",0.737,0.765,0.511,0.567,0.615,0.277,0.737348,0.840314,0,0.765482,0.717277,1,0.511101,0.591623,0,0.566738,0.657068,0,0.614909,0.643979,0,0.276577,0.743455,0,0,1,0,0,0,0
anodize,True,1,001000,Ap,,True,1,001000,Ap,,0.203,0.301,0.904,0.439,0.092,0.114,0.202558,0.840314,0,0.301293,0.717277,0,0.903566,0.591623,1,0.43944,0.657068,0,0.091765,0.643979,0,0.113591,0.743455,0,0,0,1,0,0,0
answer,True,1,001000,Ap,,True,2,001100,Ap,An,0.519,0.436,0.887,0.611,0.265,0.232,0.519048,0.840314,0,0.436226,0.717277,0,0.887244,0.591623,1,0.611407,0.657068,0,0.264956,0.643979,0,0.231673,0.743455,0,0,0,1,0,0,0
