Model,Params,Mode,Percentile,Thresholds,PassedMinAccept,UsedOOF,SCS_core,SCS_eval,PenalizedObj_eval,Core_D,Core_M,Core_T,Core_C,Core_E,Core_D_bar,Core_W_bar,Core_rho,Core_acceptance,Core_entry_rate,Core_en_over_ac,Core_per_level,Eval_D,Eval_M,Eval_T,Eval_C,Eval_E,Eval_D_bar,Eval_W_bar,Eval_rho,Eval_acceptance,Eval_entry_rate,Eval_en_over_ac,Eval_per_level
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 20}",K=5/th=0.24/c=20,,,True,,0.6315543389261166,0.7578778965943208,-0.03450195428706071,0.09683717487503879,0.3791533814715934,1.0,0.3795684850755702,0.0,0.054669118741909745,0.5098766972144231,0.9999999999999999,0.7165354330708661,1.8871391076115485,2.6336996336996337,"[55, 111, 146, 169, 127, 111]",0.08625309747690807,0.2404911412299639,1.0,0.3737198011579221,0,0.05032717758941908,0.5331543762155943,0.9999999999999999,0.5321212121212121,1.0678787878787879,2.0068337129840548,"[173, 236, 348, 357, 372, 276]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 24}",K=5/th=0.24/c=24,,,True,,0.810102818727619,0.759751393139194,-0.24354743849491467,0.19233491576553619,0.29765811638304956,1.0,0.3847533978171077,0.0,0.11943214496680273,0.5015261046392084,0.9999999999999999,0.6220472440944882,1.3674540682414698,2.19831223628692,"[24, 66, 105, 133, 101, 92]",0.11307859026408132,0.18598703647090797,0.8999999999999999,0.37553279782006915,0,0.0676054587672304,0.5302561305111295,0.7999999999999999,0.40545454545454546,0.7078787878787879,1.7458893871449925,"[89, 142, 241, 238, 253, 205]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 28}",K=5/th=0.24/c=28,,,True,,0.8812701483115036,0.9038476945868898,-0.6760535909962133,0.2285908777407,0.2633402311867535,1.0,0.3867316725251903,0.0,0.1468986373200261,0.4957272197615554,0.9999999999999999,0.5564304461942258,1.0813648293963254,1.9433962264150941,"[20, 56, 81, 111, 81, 63]",0.17370537368747854,0.14386925399778488,0.95,0.3800385829906537,0,0.11125056194161426,0.5292039379657769,0.8999999999999998,0.2878787878787879,0.45575757575757575,1.5831578947368419,"[37, 82, 154, 151, 205, 123]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.24, 'cutoff': 32}",K=5/th=0.24/c=32,,,True,,0.9141679429654561,0.9463495266866484,-1.064981060153931,0.2491087113734469,0.2511776387285773,1.0,0.38745623440195487,0.0,0.16171782905128604,0.48746693470488234,0.9999999999999999,0.45144356955380577,0.8818897637795275,1.9534883720930232,"[16, 50, 72, 92, 62, 44]",0.2002494374856975,0.12865497882944815,0.95,0.3825168934346634,0,0.1311787719424124,0.5238970841500379,0.8999999999999998,0.21575757575757576,0.32484848484848483,1.5056179775280898,"[31, 50, 108, 110, 152, 85]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.28, 'cutoff': 6}",K=5/th=0.28/c=6,,,True,,0.42114069821034605,0.5065504384605584,-4.194188998259143,0.04159708784340457,0.5336357406203918,1.0,0.3772645032911108,0.0,0.022534082677923555,0.5191875197012342,0.9999999999999999,0.9658792650918635,3.4671916010498687,3.589673913043478,"[129, 204, 260, 281, 243, 204]",0.0322957168708971,0.4362763627834753,1.0,0.3684369479104552,0,0.017867575024158738,0.5353804856975709,0.9999999999999999,0.9218181818181819,2.7981818181818183,3.035502958579882,"[458, 688, 929, 898, 917, 727]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.28, 'cutoff': 8}",K=5/th=0.28/c=8,,,True,,0.4266404659821423,0.5217059170163102,-3.509992271803839,0.04375119749487231,0.5302263460377847,1.0,0.3770520484168488,0.0,0.023712446137915233,0.5182704879177037,0.9999999999999999,0.9291338582677166,3.304461942257218,3.556497175141243,"[120, 197, 247, 271, 233, 191]",0.036461395944274465,0.42536191278093394,1.0,0.3686881128432322,0,0.020258824311817428,0.5353641112824167,0.9999999999999999,0.8654545454545455,2.5424242424242425,2.937675070028011,"[405, 659, 797, 830, 839, 665]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.28, 'cutoff': 10}",K=5/th=0.28/c=10,,,True,,0.43354193752950665,0.5305217068025962,-3.3571633570914585,0.04451989435082164,0.5240933840931652,1.0,0.37705142423950055,0.0,0.024155817228543874,0.5184279660639184,0.9999999999999999,0.9028871391076115,3.1758530183727034,3.5174418604651163,"[116, 193, 237, 263, 219, 182]",0.038303227009385626,0.41834135617725066,1.0,0.3685327865682043,0,0.02134849240966261,0.5360054376183343,0.9999999999999999,0.8193939393939393,2.3878787878787877,2.9142011834319526,"[383, 636, 733, 758, 781, 649]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.28, 'cutoff': 12}",K=5/th=0.28/c=12,,,True,,0.4710154547971319,0.5747764893168902,-2.1674799395939877,0.05279034536523368,0.49482266794014207,1.0,0.3768259245734674,0.0,0.028792786874443258,0.5166238775723103,0.9999999999999999,0.8792650918635171,2.921259842519685,3.3223880597014928,"[96, 175, 219, 249, 203, 171]",0.047415484408258886,0.38345745174279916,1.0,0.3693948555047681,0,0.026662860241457847,0.5356600424710847,0.9999999999999999,0.7848484848484848,2.127878787878788,2.7111969111969114,"[323, 529, 656, 693, 703, 607]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.28, 'cutoff': 16}",K=5/th=0.28/c=16,,,True,,0.5368650442487155,0.6408244582078366,-0.7757724621978876,0.06579127933403608,0.44226241188392956,1.0,0.3777872559953633,0.0,0.03605748082121702,0.5120001857103402,0.9999999999999999,0.8083989501312336,2.391076115485564,2.9577922077922074,"[75, 138, 181, 205, 173, 139]",0.06528122315389617,0.3358101318169664,1.0,0.3711778895696893,0,0.03744961917862654,0.5362153963974226,0.9999999999999999,0.6345454545454545,1.4951515151515151,2.3562559694364853,"[217, 322, 484, 496, 512, 436]"
Legacy kNN (freq),"{'K': 5, 'thresh': 0.28, 'cutoff': 20}",K=5/th=0.28/c=20,,,True,,0.6327779532313748,0.7594459024997374,-0.052659060555427906,0.09689304048982489,0.3779774042565494,1.0,0.37954105666033083,0.0,0.05467928500290602,0.5096459527380606,0.9999999999999999,0.7165354330708661,1.8845144356955381,2.6300366300366305,"[55, 110, 146, 169, 127, 111]",0.08749219638772535,0.2401352648875498,1.0,0.3736299033318727,0,0.050918030073536416,0.5310532163184849,0.9999999999999999,0.5236363636363637,1.0484848484848486,2.002314814814815,"[171, 230, 342, 349, 367, 271]"
